iteration,loss,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4
1,4.5445471190472690,4.6045625322128485,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.14459461252607540
2,4.4864626474063850,4.6027457807404190,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.28596487906938910
3,4.4308592054085090,4.5997345788713020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.42413849825412075
5,4.3268492682186140,4.5902214481545150,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.69102265006872430
10,4.1056844205583840,4.5477752860752190,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.3048083334902638
20,3.3687650148865110,3.3074182965897080,0.28714958030781180,0.0000000000000000,0.0000000000000000,0.0000000000000000,5.7652180937050250
50,3.3161976479591400,3.3152035092852740,5.6095976837979840,0.0000000000000000,3.4527918072852968,0.0000000000000000,0.0000000000000000
100,3.3156340906479533,3.3156340904802220,5.3733744303312730,0.0000000000000000,3.6925604260961236,0.0000000000000000,0.0000000000000000
200,3.3156340906479533,3.3156340904802220,5.3733744303312730,0.0000000000000000,3.6925604260961236,0.0000000000000000,0.0000000000000000
500,3.3156340906479533,3.3156340904802220,5.3733744303312730,0.0000000000000000,3.6925604260961236,0.0000000000000000,0.0000000000000000
