iteration,loss,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7
1,4.5614386324035240,4.6049327910869575,0.0000000000000000,0.065947577727122900,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
2,4.5190498718790940,4.6042090034274710,0.0000000000000000,0.13057620389970330,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
3,4.4779804859254170,4.6029831318709280,0.0000000000000000,0.19391225754883215,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
5,4.3997041396233210,4.5989743045401720,0.0000000000000000,0.31680953604960177,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
10,4.2253881484207710,4.5795388862639080,0.0000000000000000,0.60318026430939600,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
20,3.4172099695065500,4.1027000409811050,0.0000000000000000,1.6079128158623320,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.80591682945622840,0.0000000000000000,0.0000000000000000
50,2.9493983421020390,3.0372275963780140,3.3711968319086300,1.3081980925715555,0.0000000000000000,-0.083549762543800400,2.5473965149387980,1.1409568506819523,-0.49957039466151054,0.0000000000000000
100,2.7563314918419826,2.8152852711943632,9.2015183322205640,0.0000000000000000,0.26702191497092204,-0.83436469382004500,9.9374603135382320,0.24639390877577440,-1.5438951280830098,-0.31123551742925040
200,2.7488648689283800,2.7492673836357495,9.7527452263130800,0.0000000000000000,0.26382260105562720,-0.86893179578224760,12.788456339479980,0.0000000000000000,-1.7234178226846857,-0.65705307125583460
500,2.7488647382359988,2.7488647680692204,9.7567588899348610,0.0000000000000000,0.26407066747286073,-0.86982152747728380,12.798419439237160,0.0000000000000000,-1.7246129690194503,-0.65782628286151970
